year,fossil,land
1850,0.05372478,0.740726667
1851,0.054251787,0.76986
1852,0.056658049,0.79622
1853,0.059289566,0.80116
1854,0.069606593,0.812106667
1855,0.071031619,0.82637
1856,0.0759404,0.83075
1857,0.076741552,0.8438
1858,0.077933511,0.84946
1859,0.082579739,0.86133
1860,0.090692807,0.790386667
1861,0.095302993,0.75508
1862,0.097159135,0.734786667
1863,0.103584847,0.726753333
1864,0.111770039,0.733226667
1865,0.118682129,0.711866667
1866,0.122561958,0.71533
1867,0.131226503,0.702786667
1868,0.134960024,0.69958
1869,0.143212626,0.69759
1870,0.146321855,0.794603333
1871,0.15550671,0.81797
1872,0.172205642,0.861846667
1873,0.182987776,0.87587
1874,0.171578121,0.903573333
1875,0.185875541,0.90945
1876,0.188477763,0.92454
1877,0.192148707,0.94887
1878,0.193681637,0.963836667
1879,0.207367457,0.979423333
1880,0.234232477,0.98884
1881,0.242405174,0.983476667
1882,0.256047514,1.00537
1883,0.272342382,1.021876667
1884,0.275590052,1.02328
1885,0.277699006,1.024873333
1886,0.281928861,1.023496667
1887,0.295928843,1.039526667
1888,0.327877093,1.037236667
1889,0.32808338,1.04668
1890,0.3567837,1.12346
1891,0.373798694,1.147963333
1892,0.376783915,1.14129
1893,0.372046813,1.151443333
1894,0.385433216,1.174596667
1895,0.408287077,1.17087
1896,0.421793347,1.175016667
1897,0.441704509,1.194173333
1898,0.465875148,1.198486667
1899,0.508849389,1.208246667
1900,0.535721558,1.21745
1901,0.552846117,1.251486667
1902,0.566854801,1.263033333
1903,0.618065461,1.27268
1904,0.625069582,1.302376667
1905,0.666094577,1.311106667
1906,0.695681837,1.32956
1907,0.792835501,1.33021
1908,0.761570691,1.34316
1909,0.793425668,1.364543333
1910,0.832498082,1.30954
1911,0.845307682,1.30066
1912,0.888081,1.273826667
1913,0.962021264,1.26099
1914,0.872748346,1.26275
1915,0.859178679,1.242723333
1916,0.928010943,1.23945
1917,0.970660071,1.21704
1918,0.956900865,1.20546
1919,0.829998111,1.196843333
1920,0.968001576,1.303693333
1921,0.850162088,1.360703333
1922,0.891025353,1.380073333
1923,1.01064294,1.410523333
1924,1.014231079,1.395716667
1925,1.020915093,1.432546667
1926,1.003659066,1.43729
1927,1.095236555,1.438653333
1928,1.090696102,1.453786667
1929,1.17036302,1.46901
1930,1.080265954,1.484186667
1931,0.965971281,1.507726667
1932,0.871340058,1.518923333
1933,0.917762574,1.506796667
1934,0.997867254,1.521406667
1935,1.046872467,1.504236667
1936,1.148452148,1.540623333
1937,1.227268915,1.535463333
1938,1.154371432,1.546356667
1939,1.220014305,1.5381
1940,1.333149963,1.567523333
1941,1.364380546,1.607846667
1942,1.35985895,1.61171
1943,1.38517281,1.608706667
1944,1.408975379,1.590083333
1945,1.17066363,1.60027
1946,1.257790819,1.590506667
1947,1.409717184,1.57703
1948,1.486867549,1.562433333
1949,1.420314657,1.551123333
1950,1.618560487,1.816056667
1951,1.741716902,1.96434
1952,1.765201945,1.979043333
1953,1.815239884,2.01518
1954,1.853093356,2.130686667
1955,2.03168735,2.181786667
1956,2.163284667,2.199953333
1957,2.234163841,2.259866667
1958,2.297357282,2.241383333
1959,2.416788245,2.37248
1960,2.561940878,2.07712
1961,2.569593474,2.082466667
1962,2.660273139,1.948253333
1963,2.80206814,1.897743333
1964,2.954276652,1.817663333
1965,3.086954934,1.742746667
1966,3.237616054,1.61494
1967,3.33989376,1.70593
1968,3.522181676,1.726836667
1969,3.755949069,1.894253333
1970,4.066358737,1.825783333
1971,4.231403836,1.6756
1972,4.428106049,1.75712
1973,4.660831344,1.70695
1974,4.639168013,1.72298
1975,4.636592999,1.67126
1976,4.875134201,1.654006667
1977,5.010381734,1.806793333
1978,5.192342066,1.791456667
1979,5.324396964,1.598206667
1980,5.297432596,1.637913333
1981,5.15277201,1.592953333
1982,5.11182925,1.509703333
1983,5.158781398,1.593846667
1984,5.310384756,1.753493333
1985,5.498052123,1.85255
1986,5.578069006,1.89501
1987,5.760423106,1.773456667
1988,5.982193225,1.680316667
1989,6.059009943,1.63232
1990,6.204187685,1.590903333
1991,6.333403645,1.561216667
1992,6.146403948,1.628793333
1993,6.209026223,1.564763333
1994,6.270359809,1.820116667
1995,6.418296368,1.71345
1996,6.613940156,1.785433333
1997,6.65401783,2.18876
1998,6.630926037,1.853776667
1999,6.778867541,1.7909
2000,6.962741123,1.677336667
2001,7.012279912,1.490366667
2002,7.168485683,1.663126667
2003,7.547131682,1.998146667
2004,7.808412661,1.758696667
2005,8.07831617,1.618753333
2006,8.349932234,1.646763333
2007,8.596958385,1.52653
2008,8.747178026,1.624186667
2009,8.600713314,1.78352
2010,9.093251466,1.778883333
2011,9.41047748,1.744693333
2012,9.540047822,1.823723333
2013,9.627680043,1.72476
2014,9.679501611,1.74943
2015,9.662534802,1.777463333
2016,9.659615273,1.4674
2017,9.818397903,1.448626667
2018,10.02565582,1.33243
2019,10.12187955,1.333836667
2020,9.595586744,1.23268
2021,10.06191697,1.271043333
2022,10.24229576,1.306056667
2023,10.39684612,1.295183333
2024,10.53454641,1.251503333
